id;valid_from;valid_to;device_id;signature;created_at
1;2020-01-04;2020-01-04;6169;panel payment;2020-01-04
2;2020-01-04;2020-01-04;80073;Beauty;2020-01-04
3;2020-01-04;2020-01-04;94499;project;2020-01-04
4;2020-01-04;2020-01-04;68172;applications;2020-01-04
5;2020-01-04;2020-01-04;18750;North Carolina;2020-01-05
6;2020-01-04;2020-01-04;75824;Trinidad and Tobago Dollar Frozen Investment Account;2020-01-04
7;2020-01-04;2020-01-05;45140;Freeway Generic Metal Fish;2020-01-04
8;2020-01-04;2020-01-04;79237;Dobra Berkshire Avon;2020-01-04
9;2020-01-05;2020-01-04;30634;Berkshire;2020-01-04
10;2020-01-04;2020-01-04;2003;Bedfordshire;2020-01-04
