id;name;status;created_at;updated_at
1;Graphic Interface;INITIATED;2020-01-04;2020-01-04
2;orchid;INITIATED;2020-01-05;2020-01-04
3;Licensed Wooden Soap Manager;EXPIRED;2020-01-04;2020-01-04
4;Congo;COMPLETED;2020-01-04;2020-01-04
5;Cambridgeshire;INITIATED;2020-01-04;2020-01-04
6;relationships;COMPLETED;2020-01-04;2020-01-04
7;blue;INITIATED;2020-01-04;2020-01-04
8;1080p New Zealand Dollar;COMPLETED;2020-01-04;2020-01-04
9;white Mobility system;COMPLETED;2020-01-04;2020-01-04
10;Corner Computer;INITIATED;2020-01-04;2020-01-04
